name,url_site,url_linkedin,url_instagram,url_x
1 Time Invest,https://www.time.com.br,https://www.linkedin.com/company/time,https://www.instagram.com/time,https://twitter.com/time
1A Investimentos,https://www.a-investimentos.com.br,https://www.linkedin.com/company/a-investimentos,https://www.instagram.com/a-investimentos,https://twitter.com/a-investimentos
2D Investimentos,https://www.d-investimentos.com.br,https://www.linkedin.com/company/d-investimentos,https://www.instagram.com/d-investimentos,https://twitter.com/d-investimentos
3A Investimentos,https://www.a-investimentos.com.br,https://www.linkedin.com/company/a-investimentos,https://www.instagram.com/a-investimentos,https://twitter.com/a-investimentos
3J Capital,https://www.j-capital.com.br,https://www.linkedin.com/company/j-capital,https://www.instagram.com/j-capital,https://twitter.com/j-capital
3Q Asset,https://www.q-asset.com.br,https://www.linkedin.com/company/q-asset,https://www.instagram.com/q-asset,https://twitter.com/q-asset
3R Investimentos,https://www.r-investimentos.com.br,https://www.linkedin.com/company/r-investimentos,https://www.instagram.com/r-investimentos,https://twitter.com/r-investimentos
3VR Investimentos e Proteção,https://www.vr-investimentos.com.br,https://www.linkedin.com/company/vr-investimentos,https://www.instagram.com/vr-investimentos,https://twitter.com/vr-investimentos
3W Investimentos,https://www.w-investimentos.com.br,https://www.linkedin.com/company/w-investimentos,https://www.instagram.com/w-investimentos,https://twitter.com/w-investimentos
4 Follhas Capital,https://www.follhas-capital.com.br,https://www.linkedin.com/company/follhas-capital,https://www.instagram.com/follhas-capital,https://twitter.com/follhas-capital
4K Investimentos,https://www.k-investimentos.com.br,https://www.linkedin.com/company/k-investimentos,https://www.instagram.com/k-investimentos,https://twitter.com/k-investimentos
4P Investimentos,https://www.p-investimentos.com.br,https://www.linkedin.com/company/p-investimentos,https://www.instagram.com/p-investimentos,https://twitter.com/p-investimentos
4trader Investimentos,https://www.trader-investimentos.com.br,https://www.linkedin.com/company/trader-investimentos,https://www.instagram.com/trader-investimentos,https://twitter.com/trader-investimentos
4UM Investimentos,https://www.um-investimentos.com.br,https://www.linkedin.com/company/um-investimentos,https://www.instagram.com/um-investimentos,https://twitter.com/um-investimentos
A Figueira Investimentos,https://www.a-figueira.com.br,https://www.linkedin.com/company/a-figueira,https://www.instagram.com/a-figueira,https://twitter.com/a-figueira
A2A Invest,https://www.aa.com.br,https://www.linkedin.com/company/aa,https://www.instagram.com/aa,https://twitter.com/aa
A3S Investimentos,https://www.as.com.br,https://www.linkedin.com/company/as,https://www.instagram.com/as,https://twitter.com/as
A7 Capital,https://www.a.com.br,https://www.linkedin.com/company/a,https://www.instagram.com/a,https://twitter.com/a
AAX Investimentos,https://www.aax.com.br,https://www.linkedin.com/company/aax,https://www.instagram.com/aax,https://twitter.com/aax
Absolute Investimentos,https://www.absolute.com.br,https://www.linkedin.com/company/absolute,https://www.instagram.com/absolute,https://twitter.com/absolute
